issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
2145-6445,0120-1867,2145-6445,otras ciencias sociales b q3 q4 latinoamericana estudios familia social,law political science relations social sciences family gender diversity public policies marriage woman,10,13,1828.24,EUR,1974.5,1.08,5196.05,observado,True,2,4,13,52,576,12,50,0.26,44.31,0.3125,2019-02-23T17:15:44Z,2023-12-15T08:00:13Z,2023-12-15,233,40,0.23076923076923078,0.34603988130267443,0.7481,-0.0472,-0.5873,1.7572,0.3513,0.0713,0.05,0.4186
2011-513X,1809-6891,2011-513X,ciencias veterinarias agricolas c q4 ciencia,history political science relations arts humanities social sciences animal behaviour zootechnology health production veterinary medicine agriculture culture,6,17,2244.95,EUR,2424.55,1.08,6380.39,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2010-04-27T09:32:46Z,2022-03-25T09:33:12Z,2022-03-25,3312,24,0.07017543859649122,0.32684309695877867,1.2902,-0.7791,-0.7284,0.4005,0.4321,0.0012,0.025,0.2326
2215-7840,2389-7252,2215-7840,ciencias salud medicas c q3 q4 biomedicas general,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine biotechnology biomedical sciences basic medical clinical,8,19,1120.14,EUR,1209.75,1.08,3183.55,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2021-06-21T19:25:27Z,2021-06-21T19:25:27Z,2021-06-21,892,8,0.7191011235955056,0.49240016969074035,-0.1731,0.428,-0.3052,-0.9562,0.2141,0.1167,0.1,0.0465
2027-3401,2448-2390,2027-3401,educacion general incluye capacitacion pedagogia ciencias sociales c perspectivas educativas filosofia da universidade federal do tocantins,philosophy philosophical debate psychology religion,16,5,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2022-04-11T12:04:01Z,2022-04-11T12:04:01Z,2022-04-11,0,8,,0.4033315904040406,2.0618,,,-0.9562,0.547,,,0.0465
1692-7427,2215-7727,1692-7427,ciencias cuidado salud servicios administracion hospitales financiamiento medicas c q4 actividad fisica desarrollo humano,agronomy crop science economics econometrics geography planning development agricultural biological sciences finance social sports physical education physiotherapy psychology athletic performance physiological processes anthropology recreation leisure medicine internal special situations conditions,14,30,2618.0,EUR,2827.44,1.08,7440.63,observado,True,1,16,7,28,319,13,28,0.27,45.57,0.2778,2012-05-08T08:29:30Z,2022-04-19T12:53:43Z,2022-04-19,963,24,0.4642857142857143,0.36802547900211535,1.7755,-0.1242,1.1056,0.4005,0.5043,0.0639,0.35,0.2326
2027-923X,2341-3018,2027-923X,otras ciencias sociales c elementos experimental visual,eme illustration art design graphic techniques fine arts drawing,7,9,4188.68,EUR,4523.77,1.08,11904.66,observado,True,0,,,,,,,,,,2023-04-03T12:38:20Z,2023-04-03T12:38:20Z,2023-04-03,195,20,,0.2991158362831495,3.819,,,0.0613,0.8087,,,0.186
0122-6150,2521-9715,0122-6150,otras ciencias sociales c cientifica facultad veterinarias universidad zulia,unincca veterinary medicine animal science agricultural economics public health food technology agriculture culture cattle,9,14,895.15,EUR,966.76,1.08,2544.11,observado,True,0,,,,,,,,,,2023-02-27T14:36:38Z,2023-02-27T14:36:38Z,2023-02-27,2418,9,,0.4236763726172109,-0.4659,,,-0.8714,0.1705,,,0.0581
0120-4319,2580-5649,0120-4319,odontologia cirugia oral medicina clinica ciencias medicas salud b universitas rancang bangun dan general civil,odontologica jurnal teknologi design technology engineering,15,6,575.0,EUR,621.0,1.08,1634.21,observado,True,0,,,,,,,,,,2017-10-11T14:45:09Z,2019-01-17T08:42:25Z,2019-01-17,214,24,,0.34379486155100436,-0.8824,,,0.4005,0.1085,,,0.2326
0123-3734,2574-2167,0123-3734,negocios economia ciencias sociales c sotavento mba,management orthopaedic trauma association biomechanics medicine surgery orthopedic,7,8,1900.0,USD,1900.0,1.0,5000.0,declarado,True,0,,,,,,,,,,2020-06-11T15:30:09Z,2020-06-11T15:30:09Z,2020-06-11,439,4,,0.42145302246207716,0.6583,,,-1.2954,0.338,,,0.0
2027-4297,2389-7708,2027-4297,ciencias veterinarias agricolas b q4 colombiana recia ciencia general,nephrology medicine animal veterinary wildlife science agriculture culture,9,8,2244.95,EUR,2424.55,1.08,6380.39,observado,True,1,5,44,122,1381,24,109,0.23,31.39,0.4036,2016-02-08T14:51:39Z,2021-08-04T17:43:50Z,2021-08-04,545,32,0.19672131147540983,0.3093967317742677,1.2902,-0.5095,-0.4463,1.0789,0.4321,0.027,0.075,0.3256
