issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
2215-7727,2215-7727,2215-7727,sociologia ciencias sociales c q4 desarrollo latino italian portuguese,agronomy crop science economics econometrics geography planning development agricultural biological sciences finance social rural film gender linguistics iberian literature culture latin american language french spanish,9,25,1783.67,EUR,1926.36,1.08,5069.37,observado,True,1,16,7,28,319,13,28,0.27,45.57,0.2778,2018-12-18T01:46:59Z,2023-03-21T08:07:56Z,2023-03-21,41,8,0.4642857142857143,0.47221996518291504,0.6901,-0.1242,1.1056,-0.9562,0.3427,0.0639,0.35,0.0465
1657-9267,2011-2777,1657-9267,psicologia ciencias sociales b q4 universitas social,psychology miscellaneous social psychologica sciences education philosophy religion,7,8,2323.34,EUR,2509.21,1.08,6603.18,observado,True,1,37,28,77,1691,32,77,0.21,60.39,0.4474,2019-06-04T23:33:02Z,2020-05-16T14:33:41Z,2020-05-16,336,50,0.4155844155844156,0.4114077105005369,1.3922,-0.2013,4.0682,2.6052,0.4473,0.0565,0.875,0.5349
0124-0781,0719-5338,2590-8669,ciencias politicas sociales c q4 reflexion ciencia general,history political science relations arts humanities social sciences politica sociology latin america public policy economy,8,15,2443.03,EUR,2638.47,1.08,6943.34,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2024-05-29T07:00:43Z,2024-05-29T07:00:43Z,2024-05-29,0,25,0.07017543859649122,0.3213851745974798,1.5479,-0.7791,-0.7284,0.4853,0.4704,0.0012,0.025,0.2442
1794-8231,,2462-8794,matematicas aplicadas matematica ciencias naturales c ecomatematico,education mathematics special aspects science,7,5,2826.34,EUR,3052.45,1.08,8032.76,observado,True,0,,,,,,,,,,2017-11-02T21:02:49Z,2021-11-02T08:21:20Z,2021-11-02,215,12,,0.3965471409967377,2.0466,,,-0.617,0.5447,,,0.093
2027-5846,,2027-5846,otras ingenierias tecnologias ingenieria tecnologia c data general civil,usbmed technology engineering biomedical software computer science,9,7,5176.12,EUR,5590.21,1.08,14711.08,observado,True,0,,,,,,,,,,2012-01-23T13:52:39Z,2025-05-05T09:47:48Z,2025-05-05,243,16,,0.3031200920324692,5.1036,,,-0.2778,1.0,,,0.1395
0120-7555,0120-7555,2346-206X,economia negocios ciencias sociales c q4 turismo sociedad esic media social,geography planning development tourism leisure hospitality management business accounting social sciences adresearch communication new marketing public relations strategy branding language literature philology linguistics mass,11,24,1996.61,EUR,2156.34,1.08,5674.58,observado,True,1,7,25,91,1351,38,88,0.34,54.04,0.434,2022-04-19T13:31:45Z,2022-04-19T13:31:45Z,2022-04-19,260,24,0.4175824175824176,0.34474979778030335,0.9671,-0.2269,-0.1641,0.4005,0.3839,0.0541,0.125,0.2326
0120-0488,1657-0448,2665-4385,otras ciencias agricolas c q4 colombiana entomologia social general,dermatology surgery medicine sociology sciences antrophology political science,9,8,2400.0,EUR,2592.0,1.08,6821.05,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2015-12-21T21:19:29Z,2024-03-31T09:00:14Z,2024-03-31,566,24,0.04065040650406504,0.31741222160147914,1.4919,-0.7278,-0.8695,0.4005,0.4621,0.0061,0.0,0.2326
0124-2121,0124-2121,2665-2420,educacion general incluye capacitacion pedagogia ciencias sociales b q3 q4 humanismo,cultural history philosophy science education gender arts humanities social sciences teacher training didactics teaching special aspects theory practice,11,18,2618.0,EUR,2827.44,1.08,7440.63,observado,True,2,4,26,69,1274,29,67,0.32,49.0,0.4167,2020-08-14T14:13:13Z,2020-08-14T14:13:13Z,2020-08-14,0,8,0.42028985507246375,0.45522515402733593,1.7755,-0.3168,-0.5873,-0.9562,0.5043,0.0455,0.05,0.0465
0123-5362,0123-5362,0123-5362,economia negocios ciencias sociales c q4 rosario social as,economics econometrics finance miscellaneous economy policy implications sciences economic theory demography science,9,12,204.92,EUR,221.31,1.08,582.39,observado,True,1,9,0,28,0,8,28,0.26,0.0,0.0,2015-10-27T12:28:45Z,2024-07-19T19:20:16Z,2024-07-19,250,12,0.2857142857142857,0.4577511990241968,-1.3638,-0.6507,0.1181,-0.617,0.0368,0.0135,0.175,0.093
0121-8417,2215-4744,2357-4720,historia arqueologia humanidades c q4 sociedad costa central general europe doctrinal,history political science relations arts humanities social sciences historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,11,23,1116.0,EUR,1205.28,1.08,3171.79,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,0.07017543859649122,0.4330724767084365,-0.1785,-0.7791,-0.7284,-0.9562,0.2133,0.0012,0.025,0.0465
1794-8932,2183-9468,2346-0806,ciencias educacion sociales b visual,sophia architecture city image art practice photography fine arts,5,9,1294.3,EUR,1397.84,1.08,3678.53,observado,True,0,,,,,,,,,,2022-04-04T12:30:07Z,2022-10-13T16:55:40Z,2022-10-13,0,24,,0.3304511345860856,0.0534,,,0.4005,0.2479,,,0.2326
2346-3775,2346-3775,2346-3775,agricultura silvicultura pesca ciencias agricolas b q3 forrajes tropicales,agronomy crop science ecology evolution behavior systematics plant agricultural biological sciences tropical grasslands forages agriculture,9,15,2784.55,EUR,3007.31,1.08,7913.97,observado,True,2,32,8,69,291,82,69,1.11,36.38,0.3182,2016-12-03T15:06:56Z,2026-07-31T14:50:56Z,2026-06-01,460,16,1.1884057971014492,0.5129739679121791,1.9922,1.5965,3.3628,-0.2778,0.5366,0.2285,0.75,0.1395
1692-0279,2443-9991,2256-4322,economia negocios ciencias sociales b ad escuela administracion,minister researching schools education innovation teacher training didactics teaching theory practice,8,11,1932.16,EUR,2086.73,1.08,5491.39,observado,True,0,,,,,,,,,,2021-07-12T16:45:56Z,2021-07-12T16:45:56Z,2021-07-12,0,12,,0.40654607952965977,0.8833,,,-0.617,0.3715,,,0.093
1900-9895,0120-1867,2500-5324,ciencias educacion sociales c q3 q4 latinoamericana estudios educativos social general,law political science relations social sciences latin american educational education policy america justice right to,11,15,1828.24,EUR,1974.5,1.08,5196.05,observado,True,2,4,13,52,576,12,50,0.26,44.31,0.3125,2021-02-03T08:48:45Z,2021-02-03T08:48:45Z,2021-02-03,651,16,0.23076923076923078,0.39360152180557534,0.7481,-0.0472,-0.5873,-0.2778,0.3513,0.0713,0.05,0.1395
2422-4200,1666-6933,2422-4200,ciencias sociales interdisciplinaria otras c logos ciencia tecnologia general civil,rtyc science engineering technology chemistry information computer,10,7,243.34,EUR,262.81,1.08,691.61,observado,True,0,,,,,,,,,,2019-03-24T02:07:24Z,2024-01-16T07:42:45Z,2024-01-16,328,10,,0.43009098735078816,-1.3138,,,-0.7866,0.0442,,,0.0698
0120-4483,2313-979X,2665-1327,economia negocios ciencias sociales b ensayos sobre social financial,politica economica economic policy macroeconomics economy development sciences theory demography finance history conditions,9,13,1828.49,EUR,1974.77,1.08,5196.76,observado,True,0,,,,,,,,,,2021-11-15T17:18:46Z,2021-11-15T17:18:46Z,2021-11-15,47,48,,0.2635822354448342,0.7484,,,2.4356,0.3514,,,0.5116
1794-161X,,2389-7864,ciencias biologicas naturales c intropica,,5,0,2784.55,EUR,3007.31,1.08,7913.97,observado,True,0,,,,,,,,,,,,,,,,0.3254674352943069,1.9922,,,,0.5366,,,
0122-8803,0122-8803,2322-6889,historia arqueologia humanidades b q3 caribe costa central general europe doctrinal,history arts humanities historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,11,18,1116.0,EUR,1205.28,1.08,3171.79,observado,True,2,5,20,76,885,8,66,0.1,44.25,0.375,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,0.10526315789473684,0.46881932789445,-0.1785,-0.4196,-0.4463,-0.9562,0.2133,0.0356,0.075,0.0465
0123-4641,2248-7085,0123-4641,linguistica idiomas literatura humanidades b colombian,applied linguistics literacy teacher education discourse language literature philology,6,9,3306.51,EUR,3571.03,1.08,9397.45,observado,True,0,,,,,,,,,,2015-01-21T16:15:33Z,2022-08-17T18:35:48Z,2022-08-17,412,5,,0.40385838187965895,2.6713,,,-1.2106,0.6378,,,0.0116
1657-6357,2389-9050,2389-9050,ciencias sociales interdisciplinaria otras c sociedad economia social general,sciences economics econometrics change sociology issues,9,6,1996.61,EUR,2156.34,1.08,5674.58,observado,True,0,,,,,,,,,,2024-04-30T06:20:16Z,2024-04-30T06:20:16Z,2024-04-30,578,52,,0.25001898798816097,0.9671,,,2.7748,0.3839,,,0.5581
0121-7372,1657-0448,2462-991X,otras ciencias medicas salud c q4 repertorio medicina cirugia experimental general,dermatology surgery medicine clinical oncology public health,11,7,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2016-10-25T09:25:34Z,2023-08-14T10:00:55Z,2023-08-14,13014,6,0.04065040650406504,0.4270405784893877,0.2542,-0.7278,-0.8695,-1.1258,0.2778,0.0061,0.0,0.0233
0120-2596,0120-2596,0120-2596,economia negocios ciencias sociales c q4 lecturas social as,business management accounting miscellaneous economics econometrics finance social sciences sociology political science statistics probability uncertainty decision applied public policy economic thought history conditions theory demography,9,25,2838.0,EUR,3065.04,1.08,8065.89,observado,True,1,10,15,67,437,21,66,0.41,29.13,0.2727,2017-01-20T12:26:23Z,2024-04-03T12:19:45Z,2024-04-03,1513,25,0.31343283582089554,0.3366810338946868,2.0618,-0.4709,0.2591,0.4853,0.547,0.0307,0.2,0.2442
0120-131X,0120-131X,2389-9980,teologia otras humanidades c q2 cuestiones teologicas filosoficas rancang bangun dan general civil,religious arts humanities jurnal teknologi design technology engineering,13,8,1300.0,EUR,1404.0,1.08,3694.74,observado,True,3,4,21,69,918,12,67,0.09,43.71,0.35710000000000003,2017-10-11T14:45:09Z,2019-01-17T08:42:25Z,2019-01-17,214,24,0.17391304347826086,0.42449144713114945,0.0609,0.2353,-0.5873,0.4005,0.249,0.0983,0.05,0.2326
0120-0011,0120-0011,2357-3848,otras ciencias medicas salud c q4 facultad medicina universidad nacional colombia natural social tecnology,medicine miscellaneous sciences health mathematical logic information agriculture,14,8,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,17,21,145,702,54,122,0.21,33.43,0.34409999999999996,2024-10-22T06:38:35Z,2024-10-22T06:38:35Z,2024-10-22,1041,12,0.3724137931034483,0.4666695891759905,0.2542,-0.2269,1.2467,-0.617,0.2778,0.0541,0.375,0.093
2011-799X,2011-799X,2011-799X,idiomas literatura humanidades a2 q2 latinoamericana traduccion,linguistics language social sciences mutatis mutandis translation practice criticism history literature philology linguistic theory comparative grammar translating interpreting,7,18,1828.24,EUR,1974.5,1.08,5196.05,observado,True,3,9,28,82,1481,35,75,0.36,52.89,0.7045,2018-11-16T18:14:39Z,2024-04-12T06:20:52Z,2024-04-12,817,15,0.4268292682926829,0.4624178820298776,0.7481,1.391,0.1181,-0.3626,0.3513,0.2088,0.175,0.1279
1909-0528,1909-0528,1909-0528,derecho ciencias sociales c q1 via inveniendi iudicandi virtual viei legal general,law social sciences et history politics political science,12,8,2676.26,EUR,2890.36,1.08,7606.21,observado,True,4,7,12,71,525,57,69,0.75,43.75,0.2,2019-04-01T02:40:41Z,2019-08-30T10:04:13Z,2019-08-30,323,20,0.8028169014084507,0.5403949426340585,1.8513,6.1423,-0.1641,0.0613,0.5156,0.6634,0.125,0.186
0121-4705,2386-8066,0121-4705,ciencias politicas sociales a1 q2 q3 analisis politico investigacion filosofica general,history political science relations sociology arts humanities social sciences philosophy ethics language epistemology psychology religion speculative theory knowledge,11,18,2258.19,EUR,2438.85,1.08,6418.03,observado,True,3,14,26,70,1363,41,65,0.67,52.42,0.19440000000000002,2019-04-04T22:57:53Z,2019-08-30T10:04:17Z,2019-08-30,0,20,0.5857142857142857,0.4569230388737136,1.3074,0.3124,0.8234,0.0613,0.4346,0.1057,0.3,0.186
2390-0725,2422-3182,2422-3182,negocios economia ciencias sociales b social,management cea economy econometrics marketing administration accounting finance sciences commerce,6,10,638.23,EUR,689.29,1.08,1813.92,observado,True,0,,,,,,,,,,2019-04-02T02:03:38Z,2019-04-02T02:03:38Z,2019-04-02,276,20,,0.3507763629400324,-0.8001,,,0.0613,0.1208,,,0.186
0120-6346,2523-0840,2248-4345,economia negocios ciencias sociales c semestre economico microecomomic social as labor,macroeconomic ecological economics economic development public econometrics sciences theory demography science history conditions industries land use growth planning,11,18,1828.49,EUR,1974.77,1.08,5196.76,observado,True,0,,,,,,,,,,2022-08-24T13:07:28Z,2022-08-24T13:07:28Z,2022-08-24,119,6,,0.41751177177849236,0.7484,,,-1.1258,0.3514,,,0.0233
0121-215X,2236-4994,2256-5442,otras ciencias sociales b geografia general,teaching geography environmental cartography anthropology recreation,6,6,416.0,EUR,449.28,1.08,1182.32,observado,True,0,,,,,,,,,,2019-06-03T16:34:30Z,2024-09-13T15:59:42Z,2024-09-13,141,35,,0.32470711859738005,-1.0892,,,1.3333,0.0777,,,0.3605
0122-5383,0122-5383,2382-4581,otras ingenierias tecnologias ingenieria tecnologia c q4 ciencia futuro scientific,chemical engineering miscellaneous energy fuel technology geology geophysics renewable sustainability environment earth planetary sciences ct f ctyf about technologies technics industry education,10,22,902.03,EUR,974.19,1.08,2563.66,observado,True,1,21,0,37,0,24,37,0.52,0.0,0.0,2016-05-06T10:12:12Z,2022-02-13T18:20:38Z,2022-02-13,62,4,0.6486486486486487,0.5071502016365882,-0.4569,-0.0857,1.811,-1.2954,0.1719,0.0676,0.475,0.0
0121-1617,0121-1617,1900-6152,historia arqueologia humanidades a1 q1 q2 q3 critica social,cultural history social sciences miscellaneous geography planning development arts humanities brazil historiography,9,12,1116.0,EUR,1205.28,1.08,3171.79,observado,True,4,15,23,67,1057,32,67,0.62,45.96,0.4667,2025-04-13T22:32:44Z,2025-04-13T22:32:44Z,2025-04-13,0,15,0.47761194029850745,0.5320522497129514,-0.1785,1.802,0.9645,-0.3626,0.2133,0.2482,0.325,0.1279
1657-107X,1853-1326,2500-5421,ciencias educacion sociales b interamericana investigacion pedagogia general,education teacher training didactics teaching special aspects theory practice,8,9,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2020-08-14T14:13:13Z,2020-08-14T14:13:13Z,2020-08-14,0,8,,0.414302786737714,0.7481,,,-0.9562,0.3513,,,0.0465
0120-0135,2447-3383,2256-2273,agronomia agricultura silvicultura pesca ciencias agricolas b q3 q4 ciencia agricola plant general,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine protection agriculture family farming forestry fruit growing culture,13,21,2000.0,EUR,2160.0,1.08,5684.21,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2019-11-22T00:40:44Z,2019-11-22T00:40:44Z,2019-11-22,206,8,0.7191011235955056,0.4824414759165549,0.9715,0.428,-0.3052,-0.9562,0.3846,0.1167,0.1,0.0465
1692-715X,1692-715X,2027-7679,ciencias sociales interdisciplinaria otras b q2 q3 latinoamericana ninez juventud rias cultural,social sciences miscellaneous developmental educational psychology american hemispheric transoceanic literary anthropology language literature,12,13,1828.24,EUR,1974.5,1.08,5196.05,observado,True,3,11,49,174,2662,152,172,0.75,54.33,0.5827,2021-01-12T14:49:39Z,2021-01-12T14:49:38Z,2021-01-12,1,50,0.8735632183908046,0.4293810827217091,0.7481,2.2899,0.4002,2.6052,0.3513,0.2948,0.225,0.5349
1794-4724,2007-7149,2145-4515,psicologia ciencias sociales c avances latinoamericana social,behavioral sciences clinical psychology occupational educational psychosocial philosophy religion,7,9,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2021-01-11T09:56:14Z,2021-01-11T09:56:14Z,2021-01-11,0,16,,0.33939548713948764,0.7481,,,-0.2778,0.3513,,,0.1395
1856-9536,1856-9536,1856-9536,periodismo comunicaciones ciencias sociales c q3 anuario estudios comunicacion social disertarciones disertaciones media cultural,communication library information sciences social electronico journalism language literature philology linguistics mass,14,12,300.05,EUR,324.05,1.08,852.76,observado,True,2,5,24,95,994,46,89,0.35,41.42,0.5714,2026-08-10T13:42:31Z,2026-08-10T13:42:31Z,,0,20,0.4842105263157895,0.41220315896466914,-1.2401,0.0042,-0.4463,0.0613,0.0552,0.0762,0.075,0.186
2011-3080,2007-7149,2011-3080,psicologia ciencias sociales c q4 ces social,psychology miscellaneous behavioral sciences clinical occupational educational psychosocial philosophy religion,7,10,532.0,EUR,574.56,1.08,1512.0,observado,True,1,10,28,98,1588,59,97,0.51,56.71,0.5114,2021-01-11T09:56:14Z,2021-01-11T09:56:14Z,2021-01-11,0,16,0.6020408163265306,0.40314875097545533,-0.9383,0.4408,0.2591,-0.2778,0.1002,0.1179,0.2,0.1395
1794-0915,2336-3037,1794-0915,ciencias biologicas naturales c q3 ornitologia colombiana scientific general civil,animal science zoology ecology evolution behavior systematics agricultural biological sciences logi transport logistics warehousing handling vehicle sustainability technology engineering transportation,10,20,150.0,EUR,162.0,1.08,426.32,declarado,True,2,12,6,44,125,33,37,0.53,20.83,0.0588,2024-04-02T13:46:11Z,2026-07-24T16:43:03Z,2026-07-24,208,12,0.75,0.5394210610809211,-1.4353,2.1487,0.5413,-0.617,0.0262,0.2813,0.25,0.093
0121-0319,2960-8309,1794-5240,otras ciencias medicas salud c uis general,internal medicine surgery traumatology pediatrics ginecology,7,6,5176.12,EUR,5590.21,1.08,14711.08,observado,True,0,,,,,,,,,,2026-02-09T12:28:22Z,2026-02-09T12:28:22Z,,227,12,,0.3767707602502393,5.1036,,,-0.617,1.0,,,0.093
0034-7434,0717-7526,2463-0225,medicina clinica ciencias medicas salud c q4 colombiana ginecologia s,neurology clinical medicine obstetricia ginecology obstetrics women health reproduction reproductive gynecology,10,11,350.0,USD,350.0,1.0,921.05,declarado,True,1,3,48,114,1495,39,90,0.26,31.15,0.4694,2022-03-18T14:46:50Z,2026-07-20T07:41:25Z,2022-09-12,1200,16,0.34210526315789475,0.37710456325949476,-1.2088,-0.4581,-0.7284,-0.2778,0.0599,0.0319,0.025,0.1395
0121-4772,0121-4772,2248-4337,economia negocios ciencias sociales b q3 q4 colombia social as,arts humanities miscellaneous economics econometrics finance social sciences real estate markets economic theory demography science,10,15,2908.3,EUR,3140.96,1.08,8265.68,observado,True,2,14,46,82,2124,23,82,0.27,46.17,0.4545,2015-11-17T19:51:04Z,2022-12-29T12:53:56Z,2022-12-29,216,25,0.2804878048780488,0.3841761613261618,2.1532,-0.3682,0.8234,0.4853,0.5606,0.0405,0.3,0.2442
0123-3068,2215-4744,2462-8190,ciencias biologicas naturales a2 cientifico museo historia natural costa central general europe doctrinal,history historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,13,16,1116.0,EUR,1205.28,1.08,3171.79,observado,True,0,,,,,,,,,,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,,0.4225750448026122,-0.1785,,,-0.9562,0.2133,,,0.0465
0120-5633,0120-5633,2357-3260,ciencias salud medicas c q4 colombiana cardiologia scientific general civil,cardiology cardiovascular medicine logi transport logistics warehousing handling vehicle sustainability technology engineering transportation,10,13,150.0,EUR,162.0,1.08,426.32,declarado,True,1,15,59,262,1265,36,214,0.15,21.44,0.3131,2024-04-02T13:46:11Z,2026-07-24T16:43:03Z,2026-07-24,208,12,0.13740458015267176,0.4645710554772457,-1.4353,-0.5608,0.9645,-0.617,0.0262,0.0221,0.325,0.093
0124-8170,2215-2652,1909-7735,otras ingenierias tecnologias ingenieria tecnologia b ciencia neogranadina universidad costa rica general civil,engineering construction manufacturing transport electrical technology,13,6,1806.0,EUR,1950.48,1.08,5132.84,observado,True,0,,,,,,,,,,2020-08-01T16:33:11Z,2022-10-24T20:10:16Z,2022-10-24,565,26,,0.31662711213281175,0.7192,,,0.5701,0.347,,,0.2558
0121-4004,0121-4004,2145-2660,farmacologia farmacia medicina basica ciencias medicas salud b q3 q4,pharmacology toxicology pharmaceutics miscellaneous applied microbiology biotechnology food science agricultural biological sciences immunology vitae theology biblical religion philosophy psychology,10,19,1176.26,EUR,1270.36,1.08,3343.05,observado,True,2,21,14,39,502,41,39,1.04,35.86,0.7143,2021-03-16T11:13:58Z,2026-06-10T18:12:22Z,,865,16,1.0512820512820513,0.4747645115248089,-0.1001,0.428,1.811,-0.2778,0.225,0.1167,0.475,0.1395
0120-0690,0120-0690,2256-2958,ciencias veterinarias agricolas b q4 colombiana pecuarias,animal science zoology veterinary miscellaneous agricultural biological sciences production welfare livestock nutrition forage apiculture agriculture culture medicine,7,17,2000.0,EUR,2160.0,1.08,5684.21,observado,True,1,23,29,65,1076,35,62,0.45,37.1,0.3768,2017-03-13T10:42:59Z,2021-11-24T09:26:53Z,2021-11-24,2324,20,0.5384615384615384,0.4137340637377728,0.9715,0.0941,2.0931,0.0613,0.3846,0.0848,0.525,0.186
0123-9392,0123-9392,2422-3794,otras ciencias medicas salud c q4,infectious diseases microbiology medical pharmacology medicine infectio infection clinical practice epidemiology internal parasitic public aspects,6,15,2675.07,EUR,2889.08,1.08,7602.84,observado,True,1,14,45,119,1096,49,107,0.44,24.36,0.4925,2025-11-05T09:30:41Z,2026-04-27T14:25:24Z,2026-04-27,22,16,0.4117647058823529,0.3776363509938265,1.8498,0.3252,0.8234,-0.2778,0.5154,0.1069,0.3,0.1395
0123-5931,2215-4744,2256-5450,estudios literarios idiomas literatura humanidades b teoria historia critica costa central general europe doctrinal,history historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,14,16,1116.0,EUR,1205.28,1.08,3171.79,observado,True,0,,,,,,,,,,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,,0.4225750448026122,-0.1785,,,-0.9562,0.2133,,,0.0465
1657-0308,2518-2943,2357-626X,arquitectura urbanismo arte humanidades b urbanism urban cultural,architecture planning design heritage history fine arts,8,7,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2022-04-27T10:03:03Z,2024-09-03T06:42:17Z,2024-09-03,289,12,,0.3964237536401622,2.0618,,,-0.617,0.547,,,0.093
0120-5323,1698-7950,2346-2426,otras humanidades c q4 universitas filosofia derecho human general uniform jurisprudence,philosophy arts humanities philosophica politica political law rights science gender politics comparative public psychology religion,11,15,2255.17,EUR,2435.58,1.08,6409.42,observado,True,1,3,20,58,615,3,56,0.05,30.75,0.07690000000000001,2025-11-12T13:49:28Z,2025-11-12T13:49:28Z,2025-11-12,0,20,0.05172413793103448,0.3355399763332312,1.3035,-0.792,-0.7284,0.0613,0.434,0.0,0.025,0.186
2027-4688,2027-4688,2539-4711,historia arqueologia humanidades b q1 fronteras costa central general europe doctrinal,history arts humanities historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,11,18,1116.0,EUR,1205.28,1.08,3171.79,observado,True,4,6,28,105,1241,43,102,0.34,44.32,0.4667,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,0.4095238095238095,0.5456288306602427,-0.1785,0.6719,-0.3052,-0.9562,0.2133,0.14,0.1,0.0465
0120-548X,2705-3822,1900-1649,ciencias biologicas naturales b q4 colombiana molecular general,neurology clinical medicine biologica biological biotechnology cell biology medical sciences science,8,11,2206.05,EUR,2382.53,1.08,6269.82,observado,True,1,3,48,114,1495,39,90,0.26,31.15,0.4694,2024-05-31T21:19:15Z,2024-05-31T21:19:15Z,2024-05-31,0,10,0.34210526315789475,0.420623465081387,1.2396,-0.4581,-0.7284,-0.7866,0.4245,0.0319,0.025,0.0698
1794-6670,2961-5666,2215-9959,otras artes arte humanidades a2 musica visuales escenicas jrm oral general,music culture traditions performance books language literature performing arts show business,11,11,3170.0,EUR,3423.6,1.08,9009.47,observado,True,0,,,,,,,,,,2024-05-28T16:56:14Z,2024-05-28T16:56:14Z,2024-05-28,0,10,,0.3965149241030417,2.4937,,,-0.7866,0.6113,,,0.0698
0120-2456,2215-4744,2256-5647,historia arqueologia humanidades a2 anuario colombiano social costa central general europe doctrinal,history historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,12,16,1116.0,EUR,1205.28,1.08,3171.79,observado,True,0,,,,,,,,,,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,,0.4225750448026122,-0.1785,,,-0.9562,0.2133,,,0.0465
2248-6046,,2011-7663,economia negocios ciencias sociales c finanzas social as,politica economica management economics education accounting sciences economic theory demography science,8,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True,0,,,,,,,,,,2015-11-10T13:17:26Z,2018-10-17T07:21:28Z,2018-10-17,239,8,,0.4142999458923853,0.7484,,,-0.9562,0.3514,,,0.0465
1692-8261,1996-5389,2216-1368,otras ingenierias tecnologias ingenieria tecnologia b prospectiva oficial universidad privada antonio guillermo urrelo social general,sciences law economics education management,15,5,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2020-01-09T11:25:57Z,2020-02-05T13:06:19Z,2020-02-05,0,6,,0.4067244554277695,2.0618,,,-1.1258,0.547,,,0.0233
0121-5256,0123-2576,1909-7700,medicina clinica ciencias medicas salud c q4 human,education medical laboratory technology medicine miscellaneous health professions social sciences med biomedical science translational clinical practice,8,16,1569.89,EUR,1695.48,1.08,4461.79,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2026-02-25T15:09:33Z,2026-02-25T15:09:33Z,,60,14,0.25806451612903225,0.3655179463644363,0.412,-0.4581,-0.5873,-0.4474,0.3013,0.0319,0.05,0.1163
1692-7273,1692-7273,2145-4507,medicina clinica ciencias medicas salud c q4 general,health policy social science medicine miscellaneous sciences microbiology physiotherapy pharmacy nutrition,8,11,2000.0,EUR,2160.0,1.08,5684.21,observado,True,1,15,38,102,1478,26,95,0.23,38.89,0.5428999999999999,2020-03-26T10:41:41Z,2024-09-13T08:12:10Z,2024-09-13,442,6,0.2549019607843137,0.4606274524548432,0.9715,-0.4966,0.9645,-1.1258,0.3846,0.0283,0.325,0.0233
2011-0324,2251-8665,2665-4814,ciencias sociales interdisciplinaria otras b discrete,cs mathematics combinatorics graph theory computer science,6,7,990.0,EUR,1069.2,1.08,2813.68,observado,True,0,,,,,,,,,,2013-01-18T19:03:57Z,2021-06-21T19:34:59Z,2021-06-21,278,30,,0.32312343250993275,-0.3425,,,0.9093,0.1889,,,0.3023
1657-4915,2215-3659,2389-7856,ciencias educacion sociales c praxis general,philosophy bioethics latin american thinking psychology religion speculative,6,8,2380.0,EUR,2570.4,1.08,6764.21,observado,True,0,,,,,,,,,,2019-05-06T19:04:24Z,2022-10-24T20:13:38Z,2022-10-24,0,12,,0.4014152937174118,1.4659,,,-0.617,0.4582,,,0.093
0120-0534,2007-7149,0120-0534,psicologia ciencias sociales a2 q2 latinoamericana social,psychology miscellaneous social sciences behavioral clinical occupational educational psychosocial philosophy religion,7,11,1828.24,EUR,1974.5,1.08,5196.05,observado,True,3,38,7,82,358,123,82,1.38,51.14,0.39390000000000003,2021-01-11T09:56:14Z,2021-01-11T09:56:14Z,2021-01-11,0,16,1.5,0.6383873786415916,0.7481,4.794,4.2093,-0.2778,0.3513,0.5344,0.9,0.1395
