issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
0124-4108,2248-454X,0124-4108,nutricion dietas ciencias salud medicas c perspectivas humana feeding dietetic food services nutrition,technology home economics nutrition foods food supply medicine public aspects,13,10,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0121-1617,1900-6152,0121-1617,historia arqueologia humanidades a2,history q4 political science relations arts humanities social sciences historiography,4,10,1116.0,EUR,1205.28,1.08,3171.79,observado,True
2216-0159,2462-8603,2216-0159,educacion general incluye capacitacion pedagogia ciencias sociales c praxis saber philosophy bioethics latin american thinking psychology religion speculative,,18,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
0121-053X,2346-1829,0121-053X,linguistica idiomas literatura humanidades b,,5,0,1898.13,EUR,2049.98,1.08,5394.68,observado,True
0120-0690,1657-0448,0120-0690,ciencias animales lecheria agricolas b colombiana pecuarias,dermatology q4 surgery medicine animal science veterinary health production farm animals companion agriculture culture,7,14,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0124-2253,2344-8350,0124-2253,otras ciencias naturales c,mathematics technology education engineering social sciences science,4,7,895.15,EUR,966.76,1.08,2544.11,observado,True
0121-4381,1576-8597,0121-4381,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales b,suma psicologica spanish society experimental psychology animal cognition perception attention psycholinguistics human methodology language literature philology linguistics philosophy religion consciousness,13,20,1005.27,EUR,1085.69,1.08,2857.08,observado,True
1657-4206,2462-8107,1657-4206,economia negocios ciencias sociales c ecos,applied economics quantitative analysis economic public policy issues finances social sciences history conditions finance theory demography as science,6,18,204.92,EUR,221.31,1.08,582.39,observado,True
0124-7913,2027-145X,0124-7913,arte humanidades c,arts humanities miscellaneous q2 geography planning development q3 urban social sciences habitat territory public policy architecture vivienda communities classes races groups city sociology,3,23,661.3,EUR,714.2,1.08,1879.47,observado,True
1794-9998,2256-3067,1794-9998,psicologia ciencias sociales b,,4,0,242.0,EUR,261.36,1.08,687.79,observado,True
0121-4772,0120-2596,0121-4772,economia negocios ciencias sociales c,business management accounting miscellaneous q4 economics econometrics finance social sciences sociology political science statistics probability uncertainty decision applied economic theory history conditions,5,22,2908.3,EUR,3140.96,1.08,8265.68,observado,True
