issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
0121-7372,2462-991X,0121-7372,medicina clinica ciencias medicas salud c,dermatology q4 surgery medicine health sciences biomedicine,6,7,1448.6,EUR,1564.49,1.08,4117.08,observado,True
2011-4540,2500-672X,2011-4540,derecho ciencias sociales c nuevo,law q3 social sciences miscellaneous political science fundamental rights constitutional policies general comparative uniform jurisprudence,5,15,,,,,,,False
0124-7905,,0124-7905,otras ciencias sociales c,,4,0,,,,,,,False
2145-7735,2443-9991,2145-7735,odontologia cirugia oral medicina clinica ciencias medicas salud c,neurology clinical q4 medicine education innovation teacher training didactics teaching,9,10,,,,,,,False
0123-1022,,0123-1022,ciencias politicas sociales c,,4,0,,,,,,,False
1692-9918,1981-4127,1692-9918,otras ciencias naturales c,social science education human sciences general works geography anthropology recreation environmental,4,11,2331.51,EUR,2518.03,1.08,6626.39,observado,True
0122-7017,2531-1654,0122-7017,otras ciencias sociales c,enterese spanish english translation literature linguistics anglo language,4,8,,,,,,,False
2145-6836,,2145-6836,otras ciencias sociales c,,4,0,,,,,,,False
1909-258X,2602-408X,1909-258X,computacion ciencias informacion naturales c,especializada sistemas informaticos islamic culture archaeology history art turkish literature music fine arts general,5,14,,,,,,,False
1692-3502,2215-4744,1692-3502,otras ciencias sociales c ensayos historia teoria arte history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,,29,0,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0122-3641,2215-2652,0122-3641,otras ingenierias tecnologias ingenieria tecnologia a2,technology engineering general civil,6,4,,,,,,,False
1794-4732,2233-7326,1794-4732,medicina clinica ciencias medicas salud c,ustasalud oftometria information science machine learning electronics telecommunications technology electrical engineering nuclear telecommunication,6,13,,,,,,,False
0124-7972,1406-5509,0124-7972,derecho ciencias sociales c,holistica juridica penal code civil estonian law fundamental personal rights european europe,4,12,,,,,,,False
