"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"0124-7107","23897066",,"Universidad Y Salud","2010","B","Colombia","Pacífico","Nariño","52001","Pasto","3C05","Salud Pública","Ciencias de la Salud","Ciencias Médicas y de la Salud","158","UNIVERSIDAD DE NARINO","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","279"
"0123-4226",,,"Revista U.D.C.A. Actualidad & Divulgación Científica","2007","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4E01","Otras Ciencias Agrícolas","Otras Ciencias Agrícolas","Ciencias Agrícolas","459","UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES U D C A","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","2"
"0120-386X","2256-3334",,"Revista Facultad Nacional De Salud Publica","2005","B","Colombia","Eje Cafetero","Antioquia","05001","Medellín","3C05","Salud Pública","Ciencias de la Salud","Ciencias Médicas y de la Salud","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","64"
"0120-2510",,,"Boletín De Antropología","2006","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","5D03","Antropología","Sociología","Ciencias Sociales","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","226"
"0124-177X",,,"Gestión Y Ambiente","2006","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5G","No registra","Geografía Social y Económica","Ciencias Sociales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible","5,934","JARDIN BOTANICO DE BOGOTA JOSE CELESTINO MUTIS","Entidades de Gobierno","Municipal","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible","234"
"0120-8845",,,"Revista Colombiana De Ortopedia Y Traumatología","2015","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B11","Cirugía","Medicina Clínica","Ciencias Médicas y de la Salud","6,422","SOCIEDAD COLOMBIANA DE ORTOPEDIA Y TRAUMATOLOGIA","Otras","Entidades sin ánimo de lucro","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","572"
"0120-8845",,,"Revista Colombiana De Ortopedia Y Traumatología","2014","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B11","Cirugía","Medicina Clínica","Ciencias Médicas y de la Salud","6,422","SOCIEDAD COLOMBIANA DE ORTOPEDIA Y TRAUMATOLOGIA","Otras","Entidades sin ánimo de lucro","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","572"
"0120-8845",,,"Revista Colombiana De Ortopedia Y Traumatología","2007","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3B11","Cirugía","Medicina Clínica","Ciencias Médicas y de la Salud","6,422","SOCIEDAD COLOMBIANA DE ORTOPEDIA Y TRAUMATOLOGIA","Otras","Entidades sin ánimo de lucro","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","572"
"0122-3461",,,"Ingeniería & Desarrollo","2007","B","Colombia","Caribe","Atlántico","08001","Barranquilla","2K02","Otras Ingenierías y Tecnologías","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","484","FUNDACION UNIVERSIDAD DEL NORTE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","243"
"1657-5636",,,"Epiciclos","2005","C","Colombia","Pacífico","Valle del Cauca","76001","Cali","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","478"
"0121-3814",,,"Tea Tecné, Episteme Y Didaxis","2010","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C01","Educación General (Incluye Capacitación, Pedagogía)","Ciencias de la Educación","Ciencias Sociales","966","UNIVERSIDAD PEDAGOGICA NACIONAL","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","369"
"1794-5887",,,"Co-Herencia","2008","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6E02","Filosofía","Otras Humanidades","Humanidades","571","UNIVERSIDAD EAFIT","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","574"
